"gender","value","yil","ilce"
"ERKEK",5412,2007,"Adalar"
"KADIN",5048,2007,"Adalar"
"ERKEK",7618,2008,"Adalar"
"KADIN",6454,2008,"Adalar"
"ERKEK",7692,2009,"Adalar"
"KADIN",6649,2009,"Adalar"
"ERKEK",7641,2010,"Adalar"
"KADIN",6580,2010,"Adalar"
"ERKEK",7304,2011,"Adalar"
"KADIN",6579,2011,"Adalar"
"ERKEK",7941,2012,"Adalar"
"KADIN",6611,2012,"Adalar"
"ERKEK",8808,2013,"Adalar"
"KADIN",7358,2013,"Adalar"
"ERKEK",8749,2014,"Adalar"
"KADIN",7303,2014,"Adalar"
"ERKEK",8549,2015,"Adalar"
"KADIN",7074,2015,"Adalar"
"ERKEK",7420,2016,"Adalar"
"KADIN",7058,2016,"Adalar"
"ERKEK",7848,2017,"Adalar"
"KADIN",7059,2017,"Adalar"
"ERKEK",8602,2018,"Adalar"
"KADIN",7517,2018,"Adalar"
"ERKEK",8046,2019,"Adalar"
"KADIN",7192,2019,"Adalar"
"ERKEK",8358,2020,"Adalar"
"KADIN",7675,2020,"Adalar"
"ERKEK",8419,2021,"Adalar"
"KADIN",7953,2021,"Adalar"
"ERKEK",7877,2022,"Adalar"
"KADIN",6889,2022,"Adalar"
"ERKEK",7877,2023,"Adalar"
"KADIN",6890,2023,"Adalar"
"ERKEK",7877,2024,"Adalar"
"KADIN",6890,2024,"Adalar"
"ERKEK",7877,2025,"Adalar"
"KADIN",6890,2025,"Adalar"
"ERKEK",7877,2026,"Adalar"
"KADIN",6890,2026,"Adalar"
"ERKEK",0,2007,"Arnavutköy"
"KADIN",0,2007,"Arnavutköy"
"ERKEK",84439,2008,"Arnavutköy"
"KADIN",79071,2008,"Arnavutköy"
"ERKEK",90710,2009,"Arnavutköy"
"KADIN",85161,2009,"Arnavutköy"
"ERKEK",96662,2010,"Arnavutköy"
"KADIN",91349,2010,"Arnavutköy"
"ERKEK",101960,2011,"Arnavutköy"
"KADIN",96270,2011,"Arnavutköy"
"ERKEK",105924,2012,"Arnavutköy"
"KADIN",100375,2012,"Arnavutköy"
"ERKEK",111294,2013,"Arnavutköy"
