"ilcekn","yil","erkek_nufus","kadin_nufus","toplam_nufus"
67392,2007,6291763,6282073,12573836
67392,2008,6386772,6310392,12697164
67392,2009,6498997,6416161,12915158
67392,2010,6655094,6600591,13255685
67392,2011,6845981,6778259,13624240
67392,2012,6956908,6897832,13854740
67392,2013,7115721,7044746,14160467
67392,2014,7221158,7155860,14377018
67392,2015,7360499,7296935,14657434
67392,2016,7424390,7379726,14804116
67392,2017,7529491,7499740,15029231
67392,2018,7542231,7525493,15067724
67392,2019,7790256,7729011,15519267
67392,2020,7750836,7711616,15462452
67392,2021,7933686,7907214,15840900
67392,2022,8196704,8154172,16129990
67392,2023,8317383,8274573,16364928
67392,2024,8438063,8394975,16599866
67392,2025,8317383,8274573,16364928
67392,2026,8679422,8635778,17069743
