"ad","ilcekn","yil","erkek_nufus","kadin_nufus","toplam_nufus","ad_yil"
"Adalar",1103,2007,5412,5048,10460,"Adalar-2007"
"Adalar",1103,2008,7618,6454,14072,"Adalar-2008"
"Adalar",1103,2009,7692,6649,14341,"Adalar-2009"
"Adalar",1103,2010,7641,6580,14221,"Adalar-2010"
"Adalar",1103,2011,7304,6579,13883,"Adalar-2011"
"Adalar",1103,2012,7941,6611,14552,"Adalar-2012"
"Adalar",1103,2013,8808,7358,16166,"Adalar-2013"
"Adalar",1103,2014,8749,7303,16052,"Adalar-2014"
"Adalar",1103,2015,8549,7074,15623,"Adalar-2015"
"Adalar",1103,2016,7420,7058,14478,"Adalar-2016"
"Adalar",1103,2017,7848,7059,14907,"Adalar-2017"
"Adalar",1103,2018,8602,7517,16119,"Adalar-2018"
"Adalar",1103,2019,8046,7192,15238,"Adalar-2019"
"Adalar",1103,2020,8358,7675,16033,"Adalar-2020"
"Adalar",1103,2021,8419,7953,16372,"Adalar-2021"
"Adalar",1103,2022,8844,7982,16826,"Adalar-2022"
"Adalar",1103,2023,8958,8112,17070,"Adalar-2023"
"Adalar",1103,2024,9072,8241,17313,"Adalar-2024"
"Adalar",1103,2025,8958,8112,17070,"Adalar-2025"
"Adalar",1103,2026,9301,8500,17801,"Adalar-2026"
"Arnavutköy",2048,2007,0,0,0,"Arnavutköy-2007"
"Arnavutköy",2048,2008,84439,79071,163510,"Arnavutköy-2008"
"Arnavutköy",2048,2009,90710,85161,175871,"Arnavutköy-2009"
"Arnavutköy",2048,2010,96662,91349,188011,"Arnavutköy-2010"
"Arnavutköy",2048,2011,101960,96270,198230,"Arnavutköy-2011"
"Arnavutköy",2048,2012,105924,100375,206299,"Arnavutköy-2012"
"Arnavutköy",2048,2013,111294,104237,215531,"Arnavutköy-2013"
"Arnavutköy",2048,2014,116574,109096,225670,"Arnavutköy-2014"
"Arnavutköy",2048,2015,122073,114149,236222,"Arnavutköy-2015"
"Arnavutköy",2048,2016,128276,119231,247507,"Arnavutköy-2016"
"Arnavutköy",2048,2017,136170,125485,261655,"Arnavutköy-2017"
"Arnavutköy",2048,2018,140662,129887,270549,"Arnavutköy-2018"
"Arnavutköy",2048,2019,145619,136869,282488,"Arnavutköy-2019"
"Arnavutköy",2048,2020,152668,144041,296709,"Arnavutköy-2020"
"Arnavutköy",2048,2021,160540,151483,312023,"Arnavutköy-2021"
"Arnavutköy",2048,2022,174676,163949,338624,"Arnavutköy-2022"
"Arnavutköy",2048,2023,182368,171164,353532,"Arnavutköy-2023"
"Arnavutköy",2048,2024,190060,178380,368440,"Arnavutköy-2024"
"Arnavutköy",2048,2025,182368,171164,353532,"Arnavutköy-2025"
"Arnavutköy",2048,2026,205445,192812,398257,"Arnavutköy-2026"
"Ataşehir",2049,2007,0,0,0,"Ataşehir-2007"
"Ataşehir",2049,2008,175963,175083,351046,"Ataşehir-2008"
"Ataşehir",2049,2009,180803,180812,361615,"Ataşehir-2009"
"Ataşehir",2049,2010,187055,188153,375208,"Ataşehir-2010"
"Ataşehir",2049,2011,192451,195051,387502,"Ataşehir-2011"
"Ataşehir",2049,2012,196453,199305,395758,"Ataşehir-2012"
"Ataşehir",2049,2013,201532,204442,405974,"Ataşehir-2013"
"Ataşehir",2049,2014,202957,206029,408986,"Ataşehir-2014"
